HarcoChen/dsh-vsc-integration	NO_DSH_FIELD	dsdeps=0 cordis=0
Fisfzy/ego-browser	HAS_DSH_NO_PATCH	dsdeps=1 cordis=1
HuanLinOTO/dsh-plugin-better-sidebar-plugin-office	BUNDLE_PATCH	patch=string dsdeps=1 cordis=1
HsiangNianian/dsh-auto-continue	BUNDLE_PATCH	patch=string dsdeps=10 cordis=1
HuanLinOTO/dsh-plugin-auto-blame	BUNDLE_PATCH	patch=string dsdeps=14 cordis=2
HuanLinOTO/dsh-plugin-aigc-canvas	BUNDLE_PATCH	patch=string dsdeps=10 cordis=1
HuanLinOTO/dsh-plugin-d399	BUNDLE_PATCH	patch=string dsdeps=3 cordis=2
HuanLinOTO/dsh-plugin-interpreters	BUNDLE_PATCH	patch=string dsdeps=11 cordis=1
Gordonynh/dsh-plugin-codex-import	NO_DSH_FIELD	dsdeps=4 cordis=1
HuanLinOTO/dsh-plugin-mineru	BUNDLE_PATCH	patch=string dsdeps=8 cordis=1
HuanLinOTO/dsh-plugin-pet-rs	NO_PACKAGE_JSON	-
HuanLinOTO/dsh-plugin-spur	BUNDLE_PATCH	patch=string dsdeps=7 cordis=1
InklingYoshi584/dsh-tool-hashline	NO_DSH_FIELD	dsdeps=11 cordis=1
GiantGKL/dsh-cost	HAS_DSH_NO_PATCH	dsdeps=6 cordis=2
HuanLinOTO/dsh-plugin-sleep	BUNDLE_PATCH	patch=string dsdeps=1 cordis=1
Hyperionjust/Primordial-soup-	NO_PACKAGE_JSON	-
Jelee0145/dsh-mem	BUNDLE_PATCH	patch=string dsdeps=5 cordis=1
JasonJin2006/dsh-sound-effects-plugin	BUNDLE_PATCH	patch=string dsdeps=0 cordis=0
JeremyGuo/dsh-custom-workspace	BUNDLE_PATCH	patch=string dsdeps=10 cordis=1
HuanLinOTO/dsh-plugin-ya-workspace-sidebar	BUNDLE_PATCH	patch=string dsdeps=7 cordis=1
Isekai-Mfu/dsh-mimo-vision-hint	BUNDLE_PATCH	patch=string dsdeps=0 cordis=0
HuanLinOTO/dsh-plugin-yet-another-subagent	BUNDLE_PATCH	patch=string dsdeps=17 cordis=1
Jesse-njx/dsh-memory	BUNDLE_PATCH	patch=string dsdeps=10 cordis=1
Jesse-njx/dsh-chatnode-wechat	BUNDLE_PATCH	patch=string dsdeps=8 cordis=1
Jesse-njx/dsh-plugin-manager	NO_DSH_FIELD	dsdeps=0 cordis=0
Hyperionjust/dsh-tool-underseal	BUNDLE_PATCH	patch=string dsdeps=4 cordis=1
Jesse-njx/dsh-crosstalk	BUNDLE_PATCH	patch=string dsdeps=9 cordis=2
Jesse-njx/dsh-plugin-manager-registry	NO_DSH_FIELD	dsdeps=0 cordis=0
Jesse-njx/dsh-routines	BUNDLE_PATCH	patch=string dsdeps=10 cordis=2
Jesse-njx/dsh-cowork	NO_DSH_FIELD	dsdeps=0 cordis=0
Jesse-njx/dsh-skillport	BUNDLE_PATCH	patch=string dsdeps=11 cordis=1
Jesse-njx/dsh-polyglot	BUNDLE_PATCH	patch=string dsdeps=12 cordis=1
JimmyJin2006/dsh-skill-manager	BUNDLE_PATCH	patch=string dsdeps=0 cordis=0
Jesse-njx/dsh-voice	BUNDLE_PATCH	patch=string dsdeps=18 cordis=1
JustGenius-s/DSH-Desktop	NO_DSH_FIELD	dsdeps=0 cordis=0
Jinsong-Zhou/dsh-html-canvas	HAS_DSH_NO_PATCH	dsdeps=0 cordis=0
Jinsong-Zhou/safe-find-dsh-plugins	NO_PACKAGE_JSON	-
KarlOfLaw/dsh-side-chat	NO_PACKAGE_JSON	-
KarlOfLaw/dsh-goal-mode-enhance	BUNDLE_PATCH	patch=string dsdeps=13 cordis=1
Karuisawa-Mrs/dsh-plugins	NO_PACKAGE_JSON	-
KhanZou/Deepseek-Harness-as-Desktop	NO_PACKAGE_JSON	-
